txn_id,customer_id,account_id,amount,txn_type,payment_mode,category,subcategory,merchant_name,txn_date,city,state,country,description,created_at
17,13,11,687.47,DEBIT,WALLET,FOOD,Online Delivery,Starbucks,24-07-2025 03:25,Mumbai,Maharashtra,India,Payment for Online Delivery at Starbucks.,12-12-2025 11:43
18,14,12,18666.51,DEBIT,CARD,FINANCE,Loan EMI,Zerodha/Groww,02-09-2025 10:39,Jaipur,Rajasthan,India,Payment for Loan EMI at Zerodha/Groww.,12-12-2025 11:43
19,15,13,38997.77,DEBIT,WALLET,FINANCE,Credit Card Payment,Zerodha/Groww,27-06-2025 03:51,Hyderabad,Telangana,India,Payment for Credit Card Payment at Zerodha/Groww.,12-12-2025 11:43
20,16,14,2269.08,DEBIT,CARD,SUBSCRIPTIONS,Newspaper,Times of India,18-10-2025 04:40,Hyderabad,Telangana,India,Payment for Newspaper at Times of India.,12-12-2025 11:43
21,17,15,992.63,DEBIT,CARD,TRANSPORT,Fuel,Ola/Uber,29-09-2025 23:10,Mumbai,Maharashtra,India,Payment for Fuel at Ola/Uber.,12-12-2025 11:43
22,18,16,2338.79,DEBIT,UPI,TRANSPORT,Cab,IOCL Pump,27-11-2025 15:32,Kolkata,West Bengal,India,Payment for Cab at IOCL Pump.,12-12-2025 11:43
23,19,17,14154.62,DEBIT,UPI,HEALTHCARE,Insurance Premium,Practo/Local Clinic,24-10-2025 09:50,Pune,Maharashtra,India,Payment for Insurance Premium at Practo/Local Clinic.,12-12-2025 11:43
24,20,18,20684.56,DEBIT,WALLET,TRAVEL,Train,OYO/Goibibo,16-09-2025 22:50,Pune,Maharashtra,India,Payment for Train at OYO/Goibibo.,12-12-2025 11:43
25,21,19,4230.37,DEBIT,NET_BANKING,FOOD,Groceries,Saravana Bhavan,21-07-2025 03:59,Bengaluru,Karnataka,India,Payment for Groceries at Saravana Bhavan.,12-12-2025 11:43
26,22,20,26057.67,DEBIT,CARD,TRAVEL,Flight,IRCTC,09-12-2025 14:47,Chennai,Tamil Nadu,India,Payment for Flight at IRCTC.,12-12-2025 11:43
27,23,21,19842.93,DEBIT,CARD,HOUSING,Internet,Airtel Broadband/Jio Fiber,21-11-2025 07:54,Mumbai,Maharashtra,India,Payment for Internet at Airtel Broadband/Jio Fiber.,12-12-2025 11:43
28,24,22,9359,DEBIT,CARD,EDUCATION,Online Course,Coursera/Udemy,30-06-2025 05:47,Chennai,Tamil Nadu,India,Payment for Online Course at Coursera/Udemy.,12-12-2025 11:43
29,25,23,282.35,DEBIT,AUTO_DEBIT,SUBSCRIPTIONS,Newspaper,Cult.fit/Anytime Fitness,12-12-2025 00:43,Lucknow,Uttar Pradesh,India,Payment for Newspaper at Cult.fit/Anytime Fitness.,12-12-2025 11:43
30,26,24,1638.18,DEBIT,UPI,OTHERS,Donation,Pet Clinic,11-11-2025 16:14,Lucknow,Uttar Pradesh,India,Payment for Donation at Pet Clinic.,12-12-2025 11:43
31,27,25,870,DEBIT,CASH,TRANSPORT,Cab,Delhi Metro/BMTC,21-09-2025 03:38,Pune,Maharashtra,India,Payment for Cab at Delhi Metro/BMTC.,12-12-2025 11:43
32,28,26,33223.21,DEBIT,CASH,EDUCATION,Online Course,University Book Store,21-06-2025 04:28,Hyderabad,Telangana,India,Payment for Online Course at University Book Store.,12-12-2025 11:43
33,29,27,11608.25,DEBIT,CASH,EDUCATION,Course Material,University Book Store,16-10-2025 10:02,Lucknow,Uttar Pradesh,India,Payment for Course Material at University Book Store.,12-12-2025 11:43
34,30,28,32280.2,DEBIT,NET_BANKING,HOUSING,Internet,Airtel Broadband/Jio Fiber,03-07-2025 18:01,Kolkata,West Bengal,India,Payment for Internet at Airtel Broadband/Jio Fiber.,12-12-2025 11:43
35,31,29,12496.87,DEBIT,CARD,TRAVEL,Flight,IRCTC,18-06-2025 03:38,Mumbai,Maharashtra,India,Payment for Flight at IRCTC.,12-12-2025 11:43
36,32,30,45363.7,DEBIT,WALLET,HOUSING,Rent,Airtel Broadband/Jio Fiber,04-09-2025 00:41,Hyderabad,Telangana,India,Payment for Rent at Airtel Broadband/Jio Fiber.,12-12-2025 11:43
37,33,31,32027.19,DEBIT,CASH,HOUSING,Internet,BSES/TNEB/MSEDCL,28-08-2025 05:12,Chennai,Tamil Nadu,India,Payment for Internet at BSES/TNEB/MSEDCL.,12-12-2025 11:43
38,34,32,37757.78,DEBIT,NET_BANKING,FINANCE,Credit Card Payment,HDFC Bank/SBI,29-09-2025 20:05,Delhi,Delhi,India,Payment for Credit Card Payment at HDFC Bank/SBI.,12-12-2025 11:43
39,35,33,9876.57,DEBIT,CARD,HEALTHCARE,Pharmacy,Apollo Pharmacy,10-11-2025 07:24,Chennai,Tamil Nadu,India,Payment for Pharmacy at Apollo Pharmacy.,12-12-2025 11:43
40,36,34,2718.65,DEBIT,NET_BANKING,TRANSPORT,Metro/Bus Pass,IOCL Pump,23-06-2025 21:05,Mumbai,Maharashtra,India,Payment for Metro/Bus Pass at IOCL Pump.,12-12-2025 11:43
41,37,35,4216.29,DEBIT,UPI,SUBSCRIPTIONS,Newspaper,Netflix/Hotstar,02-10-2025 18:28,Kolkata,West Bengal,India,Payment for Newspaper at Netflix/Hotstar.,12-12-2025 11:43
42,38,36,6554.17,DEBIT,WALLET,HEALTHCARE,Lab Test,LIC/HDFC Life,21-06-2025 00:48,Delhi,Delhi,India,Payment for Lab Test at LIC/HDFC Life.,12-12-2025 11:43
43,39,37,20728,DEBIT,UPI,SHOPPING,Books,Zara/H&M,08-09-2025 00:27,Chennai,Tamil Nadu,India,Payment for Books at Zara/H&M.,12-12-2025 11:43
44,40,38,18749.66,DEBIT,NET_BANKING,TRAVEL,Flight,Local Travel Agency,13-07-2025 22:18,Lucknow,Uttar Pradesh,India,Payment for Flight at Local Travel Agency.,12-12-2025 11:43
45,41,39,426.01,DEBIT,CARD,OTHERS,Donation,Jawed Habib,16-06-2025 22:27,Bengaluru,Karnataka,India,Payment for Donation at Jawed Habib.,12-12-2025 11:43
46,42,40,51177.93,DEBIT,CARD,FINANCE,Loan EMI,ICICI Bank/Axis Bank,23-10-2025 19:55,Delhi,Delhi,India,Payment for Loan EMI at ICICI Bank/Axis Bank.,12-12-2025 11:43
47,43,41,47364.72,DEBIT,CASH,FINANCE,Loan EMI,Zerodha/Groww,07-10-2025 05:42,Pune,Maharashtra,India,Payment for Loan EMI at Zerodha/Groww.,12-12-2025 11:43
48,44,42,5093.88,DEBIT,WALLET,HEALTHCARE,Pharmacy,Apollo Pharmacy,30-09-2025 03:57,Jaipur,Rajasthan,India,Payment for Pharmacy at Apollo Pharmacy.,12-12-2025 11:43
49,45,43,6150.93,DEBIT,WALLET,FINANCE,Credit Card Payment,HDFC Bank/SBI,14-11-2025 23:43,Kolkata,West Bengal,India,Payment for Credit Card Payment at HDFC Bank/SBI.,12-12-2025 11:43
50,46,44,11329.05,DEBIT,AUTO_DEBIT,HEALTHCARE,Lab Test,Apollo Pharmacy,28-06-2025 13:33,Delhi,Delhi,India,Payment for Lab Test at Apollo Pharmacy.,12-12-2025 11:43
51,47,45,4137.44,DEBIT,CASH,FINANCE,Loan EMI,Zerodha/Groww,28-09-2025 03:43,Pune,Maharashtra,India,Payment for Loan EMI at Zerodha/Groww.,12-12-2025 11:43
52,48,46,7483.63,DEBIT,UPI,OTHERS,Donation,Pet Clinic,16-09-2025 01:02,Ahmedabad,Gujarat,India,Payment for Donation at Pet Clinic.,12-12-2025 11:43
53,49,47,12653.53,DEBIT,UPI,HEALTHCARE,Lab Test,LIC/HDFC Life,27-10-2025 21:15,Lucknow,Uttar Pradesh,India,Payment for Lab Test at LIC/HDFC Life.,12-12-2025 11:43
54,50,48,2377.9,DEBIT,UPI,SUBSCRIPTIONS,Streaming,Netflix/Hotstar,26-08-2025 06:32,Mumbai,Maharashtra,India,Payment for Streaming at Netflix/Hotstar.,12-12-2025 11:43
55,51,49,19618.4,DEBIT,AUTO_DEBIT,TRAVEL,Hotel,Local Travel Agency,08-12-2025 09:23,Chennai,Tamil Nadu,India,Payment for Hotel at Local Travel Agency.,12-12-2025 11:43
56,52,50,41856.01,DEBIT,CARD,EDUCATION,Course Material,BYJU's/Vedantu,21-10-2025 22:01,Delhi,Delhi,India,Payment for Course Material at BYJU's/Vedantu.,12-12-2025 11:43
57,53,53,2073.46,DEBIT,WALLET,HOUSING,Electricity Bill,Landlord,17-08-2025 20:46,Jaipur,Rajasthan,India,Payment for Electricity Bill at Landlord.,12-12-2025 11:43
58,1,51,23633.91,DEBIT,CARD,FINANCE,Loan EMI,Zerodha/Groww,17-06-2025 01:40,Mumbai,Maharashtra,India,Payment for Loan EMI at Zerodha/Groww.,12-12-2025 11:43
59,2,52,12350.58,DEBIT,CARD,HEALTHCARE,Pharmacy,Practo/Local Clinic,27-07-2025 13:31,Bengaluru,Karnataka,India,Payment for Pharmacy at Practo/Local Clinic.,12-12-2025 11:43
60,3,1,26694.55,DEBIT,WALLET,EDUCATION,Course Material,BYJU's/Vedantu,15-09-2025 12:56,Jaipur,Rajasthan,India,Payment for Course Material at BYJU's/Vedantu.,12-12-2025 11:43
61,4,2,14405.55,DEBIT,AUTO_DEBIT,TRAVEL,Flight,OYO/Goibibo,11-08-2025 07:32,Chennai,Tamil Nadu,India,Payment for Flight at OYO/Goibibo.,12-12-2025 11:43
62,5,3,5302.35,DEBIT,AUTO_DEBIT,TRAVEL,Flight,Local Travel Agency,03-11-2025 16:16,Kolkata,West Bengal,India,Payment for Flight at Local Travel Agency.,12-12-2025 11:43
63,6,4,17928.45,DEBIT,NET_BANKING,TRAVEL,Local Sightseeing,Indigo/Air India,13-11-2025 01:08,Delhi,Delhi,India,Payment for Local Sightseeing at Indigo/Air India.,12-12-2025 11:43
64,7,5,500,DEBIT,UPI,FOOD,Coffee Shop,Zomato/Swiggy,18-10-2025 01:54,Bengaluru,Karnataka,India,Payment for Coffee Shop at Zomato/Swiggy.,12-12-2025 11:43
65,8,6,3879.79,DEBIT,CARD,SUBSCRIPTIONS,Streaming,Microsoft 365,06-07-2025 09:22,Ahmedabad,Gujarat,India,Payment for Streaming at Microsoft 365.,12-12-2025 11:43
66,9,7,30623.86,DEBIT,NET_BANKING,HOUSING,Internet,Landlord,14-10-2025 16:15,Mumbai,Maharashtra,India,Payment for Internet at Landlord.,12-12-2025 11:43
67,10,8,36130.41,DEBIT,CASH,EDUCATION,Online Course,Coursera/Udemy,11-10-2025 11:32,Lucknow,Uttar Pradesh,India,Payment for Online Course at Coursera/Udemy.,12-12-2025 11:43
68,11,9,1484.05,DEBIT,UPI,FOOD,Restaurant,Zomato/Swiggy,20-11-2025 18:03,Ahmedabad,Gujarat,India,Payment for Restaurant at Zomato/Swiggy.,12-12-2025 11:43
69,12,10,4197.68,DEBIT,WALLET,SHOPPING,Clothing,Croma/Reliance Digital,14-08-2025 02:44,Delhi,Delhi,India,Payment for Clothing at Croma/Reliance Digital.,12-12-2025 11:43
70,13,11,7620.28,DEBIT,CARD,HEALTHCARE,Pharmacy,Practo/Local Clinic,25-08-2025 09:25,Kolkata,West Bengal,India,Payment for Pharmacy at Practo/Local Clinic.,12-12-2025 11:43
71,14,12,850.56,DEBIT,AUTO_DEBIT,TRANSPORT,Cab,NHAI Toll,25-06-2025 15:03,Bengaluru,Karnataka,India,Payment for Cab at NHAI Toll.,12-12-2025 11:43
72,15,13,5518.78,DEBIT,UPI,SHOPPING,Online Shopping,Amazon India/Myntra,23-10-2025 04:30,Lucknow,Uttar Pradesh,India,Payment for Online Shopping at Amazon India/Myntra.,12-12-2025 11:43
73,16,14,2736.63,DEBIT,CASH,FOOD,Online Delivery,Zomato/Swiggy,21-06-2025 21:05,Hyderabad,Telangana,India,Payment for Online Delivery at Zomato/Swiggy.,12-12-2025 11:43
74,17,15,17279.46,DEBIT,CARD,TRAVEL,Train,IRCTC,02-09-2025 11:27,Ahmedabad,Gujarat,India,Payment for Train at IRCTC.,12-12-2025 11:43
75,18,16,345.92,DEBIT,UPI,TRANSPORT,Metro/Bus Pass,Delhi Metro/BMTC,18-10-2025 17:11,Mumbai,Maharashtra,India,Payment for Metro/Bus Pass at Delhi Metro/BMTC.,12-12-2025 11:43
76,19,17,22295.53,DEBIT,NET_BANKING,HOUSING,Electricity Bill,RWA,28-07-2025 17:50,Delhi,Delhi,India,Payment for Electricity Bill at RWA.,12-12-2025 11:43
77,20,18,25470.92,DEBIT,UPI,HOUSING,Rent,Landlord,17-09-2025 19:18,Bengaluru,Karnataka,India,Payment for Rent at Landlord.,12-12-2025 11:43
78,21,19,4199.11,DEBIT,AUTO_DEBIT,SHOPPING,Clothing,Zara/H&M,20-08-2025 16:51,Jaipur,Rajasthan,India,Payment for Clothing at Zara/H&M.,12-12-2025 11:43
79,22,20,375.12,DEBIT,UPI,TRANSPORT,Toll,IOCL Pump,21-07-2025 16:47,Kolkata,West Bengal,India,Payment for Toll at IOCL Pump.,12-12-2025 11:43
80,23,21,36901.81,DEBIT,CASH,EDUCATION,Tuition Fees,BYJU's/Vedantu,02-09-2025 02:44,Lucknow,Uttar Pradesh,India,Payment for Tuition Fees at BYJU's/Vedantu.,12-12-2025 11:43
81,24,22,1152.09,DEBIT,CARD,FOOD,Coffee Shop,Reliance Smart,06-07-2025 01:21,Ahmedabad,Gujarat,India,Payment for Coffee Shop at Reliance Smart.,12-12-2025 11:44
82,25,23,244.75,DEBIT,NET_BANKING,FOOD,Coffee Shop,Saravana Bhavan,01-08-2025 10:29,Delhi,Delhi,India,Payment for Coffee Shop at Saravana Bhavan.,12-12-2025 11:44
83,26,24,3945.89,DEBIT,CASH,FOOD,Groceries,Saravana Bhavan,11-07-2025 19:25,Bengaluru,Karnataka,India,Payment for Groceries at Saravana Bhavan.,12-12-2025 11:44
84,27,25,3603.2,DEBIT,UPI,SUBSCRIPTIONS,Streaming,Microsoft 365,02-09-2025 11:21,Kolkata,West Bengal,India,Payment for Streaming at Microsoft 365.,12-12-2025 11:44
85,28,26,15383.95,DEBIT,CARD,HEALTHCARE,Doctor Visit,Apollo Pharmacy,09-10-2025 17:23,Chennai,Tamil Nadu,India,Payment for Doctor Visit at Apollo Pharmacy.,12-12-2025 11:44
86,29,27,10292.83,DEBIT,CARD,HEALTHCARE,Doctor Visit,Practo/Local Clinic,25-06-2025 15:06,Lucknow,Uttar Pradesh,India,Payment for Doctor Visit at Practo/Local Clinic.,12-12-2025 11:44
87,30,28,3690.62,DEBIT,CASH,SHOPPING,Online Shopping,Crossword,10-08-2025 13:42,Mumbai,Maharashtra,India,Payment for Online Shopping at Crossword.,12-12-2025 11:44
88,31,29,20352.37,DEBIT,NET_BANKING,TRAVEL,Hotel,IRCTC,16-06-2025 02:40,Ahmedabad,Gujarat,India,Payment for Hotel at IRCTC.,12-12-2025 11:44
89,32,30,43907.72,DEBIT,CASH,EDUCATION,Tuition Fees,Coursera/Udemy,18-06-2025 20:30,Pune,Maharashtra,India,Payment for Tuition Fees at Coursera/Udemy.,12-12-2025 11:44
90,33,31,45131.63,DEBIT,CARD,FINANCE,Loan EMI,HDFC Bank/SBI,02-09-2025 02:37,Lucknow,Uttar Pradesh,India,Payment for Loan EMI at HDFC Bank/SBI.,12-12-2025 11:44
91,34,32,8041.44,DEBIT,CARD,HEALTHCARE,Lab Test,Dr. Lal PathLabs,18-10-2025 19:15,Mumbai,Maharashtra,India,Payment for Lab Test at Dr. Lal PathLabs.,12-12-2025 11:44
92,35,33,2596.12,DEBIT,UPI,FOOD,Restaurant,Reliance Smart,15-09-2025 01:21,Hyderabad,Telangana,India,Payment for Restaurant at Reliance Smart.,12-12-2025 11:44
93,36,34,384.45,DEBIT,AUTO_DEBIT,TRANSPORT,Toll,Ola/Uber,17-09-2025 19:35,Ahmedabad,Gujarat,India,Payment for Toll at Ola/Uber.,12-12-2025 11:44
94,37,35,16538.64,DEBIT,CASH,SHOPPING,Electronics,Zara/H&M,26-10-2025 13:46,Delhi,Delhi,India,Payment for Electronics at Zara/H&M.,12-12-2025 11:44
95,38,36,16743.08,DEBIT,NET_BANKING,HOUSING,Maintenance,BSES/TNEB/MSEDCL,15-09-2025 04:53,Pune,Maharashtra,India,Payment for Maintenance at BSES/TNEB/MSEDCL.,12-12-2025 11:44
96,39,37,358.59,DEBIT,CARD,TRANSPORT,Toll,Delhi Metro/BMTC,01-08-2025 10:14,Kolkata,West Bengal,India,Payment for Toll at Delhi Metro/BMTC.,12-12-2025 11:44
97,40,38,12450.48,DEBIT,CARD,HEALTHCARE,Insurance Premium,LIC/HDFC Life,08-12-2025 17:30,Hyderabad,Telangana,India,Payment for Insurance Premium at LIC/HDFC Life.,12-12-2025 11:44
98,41,39,21557.55,DEBIT,UPI,TRAVEL,Hotel,Indigo/Air India,27-07-2025 10:35,Lucknow,Uttar Pradesh,India,Payment for Hotel at Indigo/Air India.,12-12-2025 11:44
99,42,40,4665.48,DEBIT,WALLET,SHOPPING,Online Shopping,Crossword,27-09-2025 16:32,Ahmedabad,Gujarat,India,Payment for Online Shopping at Crossword.,12-12-2025 11:44
100,43,41,3965.86,DEBIT,NET_BANKING,SUBSCRIPTIONS,Software,Microsoft 365,24-09-2025 10:19,Kolkata,West Bengal,India,Payment for Software at Microsoft 365.,12-12-2025 11:44
101,44,42,1950.41,DEBIT,UPI,TRANSPORT,Fuel,IOCL Pump,18-10-2025 10:48,Mumbai,Maharashtra,India,Payment for Fuel at IOCL Pump.,12-12-2025 11:44
102,45,43,2355.07,DEBIT,CASH,FOOD,Online Delivery,Zomato/Swiggy,23-09-2025 15:47,Delhi,Delhi,India,Payment for Online Delivery at Zomato/Swiggy.,12-12-2025 11:44
103,46,44,2090.87,DEBIT,CARD,FOOD,Restaurant,Reliance Smart,20-06-2025 18:31,Bengaluru,Karnataka,India,Payment for Restaurant at Reliance Smart.,12-12-2025 11:44
104,47,45,4320.12,DEBIT,AUTO_DEBIT,SUBSCRIPTIONS,Gym Membership,Cult.fit/Anytime Fitness,25-09-2025 09:37,Lucknow,Uttar Pradesh,India,Payment for Gym Membership at Cult.fit/Anytime Fitness.,12-12-2025 11:44
105,48,46,44453.3,DEBIT,NET_BANKING,FINANCE,Loan EMI,ICICI Bank/Axis Bank,01-08-2025 19:47,Pune,Maharashtra,India,Payment for Loan EMI at ICICI Bank/Axis Bank.,12-12-2025 11:44
106,49,47,20317.93,DEBIT,CASH,HOUSING,Maintenance,RWA,17-09-2025 07:11,Hyderabad,Telangana,India,Payment for Maintenance at RWA.,12-12-2025 11:44
107,50,48,2204.09,DEBIT,CARD,SUBSCRIPTIONS,Newspaper,Microsoft 365,27-07-2025 15:47,Chennai,Tamil Nadu,India,Payment for Newspaper at Microsoft 365.,12-12-2025 11:44
108,51,49,34159.2,DEBIT,UPI,EDUCATION,Tuition Fees,BYJU's/Vedantu,17-10-2025 05:43,Jaipur,Rajasthan,India,Payment for Tuition Fees at BYJU's/Vedantu.,12-12-2025 11:44
109,52,50,3612.01,DEBIT,WALLET,SHOPPING,Books,Croma/Reliance Digital,20-11-2025 23:25,Kolkata,West Bengal,India,Payment for Books at Croma/Reliance Digital.,12-12-2025 11:44
110,53,53,1099.7,DEBIT,NET_BANKING,FOOD,Coffee Shop,Starbucks,17-09-2025 02:26,Ahmedabad,Gujarat,India,Payment for Coffee Shop at Starbucks.,12-12-2025 11:44
111,1,51,25732.32,DEBIT,AUTO_DEBIT,HOUSING,Maintenance,BSES/TNEB/MSEDCL,18-10-2025 01:21,Lucknow,Uttar Pradesh,India,Payment for Maintenance at BSES/TNEB/MSEDCL.,12-12-2025 11:44
112,2,52,3037.49,DEBIT,CASH,FOOD,Online Delivery,Zomato/Swiggy,27-07-2025 12:47,Mumbai,Maharashtra,India,Payment for Online Delivery at Zomato/Swiggy.,12-12-2025 11:44
113,3,1,4169.83,DEBIT,CARD,FOOD,Groceries,Reliance Smart,24-07-2025 16:11,Delhi,Delhi,India,Payment for Groceries at Reliance Smart.,12-12-2025 11:44
114,4,2,1112.42,DEBIT,UPI,TRANSPORT,Fuel,Delhi Metro/BMTC,02-09-2025 21:05,Bengaluru,Karnataka,India,Payment for Fuel at Delhi Metro/BMTC.,12-12-2025 11:44
115,5,3,2150.94,DEBIT,WALLET,TRANSPORT,Cab,NHAI Toll,20-07-2025 20:00,Pune,Maharashtra,India,Payment for Cab at NHAI Toll.,12-12-2025 11:44
116,6,4,4660.85,DEBIT,CASH,SUBSCRIPTIONS,Software,Netflix/Hotstar,27-08-2025 21:28,Hyderabad,Telangana,India,Payment for Software at Netflix/Hotstar.,12-12-2025 11:44
117,7,5,11502.94,DEBIT,NET_BANKING,HEALTHCARE,Insurance Premium,Dr. Lal PathLabs,27-07-2025 00:01,Lucknow,Uttar Pradesh,India,Payment for Insurance Premium at Dr. Lal PathLabs.,12-12-2025 11:44
118,8,6,2989.47,DEBIT,CARD,SHOPPING,Clothing,Zara/H&M,18-10-2025 17:09,Ahmedabad,Gujarat,India,Payment for Clothing at Zara/H&M.,12-12-2025 11:44
119,9,7,2145.29,DEBIT,UPI,TRANSPORT,Cab,IOCL Pump,11-08-2025 19:40,Jaipur,Rajasthan,India,Payment for Cab at IOCL Pump.,12-12-2025 11:44
120,10,8,37974.15,DEBIT,NET_BANKING,EDUCATION,Tuition Fees,Coursera/Udemy,17-09-2025 19:10,Kolkata,West Bengal,India,Payment for Tuition Fees at Coursera/Udemy.,12-12-2025 11:44
121,11,9,15509.31,DEBIT,CASH,HOUSING,Maintenance,RWA,25-06-2025 15:46,Mumbai,Maharashtra,India,Payment for Maintenance at RWA.,12-12-2025 11:44
122,12,10,34208.57,DEBIT,AUTO_DEBIT,EDUCATION,Course Material,University Book Store,23-09-2025 04:39,Delhi,Delhi,India,Payment for Course Material at University Book Store.,12-12-2025 11:44
123,13,11,15049.88,DEBIT,WALLET,TRAVEL,Hotel,Local Travel Agency,24-07-2025 16:33,Bengaluru,Karnataka,India,Payment for Hotel at Local Travel Agency.,12-12-2025 11:44
124,14,12,34267.89,DEBIT,UPI,HOUSING,Rent,Landlord,22-07-2025 05:43,Chennai,Tamil Nadu,India,Payment for Rent at Landlord.,12-12-2025 11:44
125,15,13,36940.86,DEBIT,CARD,EDUCATION,Tuition Fees,BYJU's/Vedantu,06-07-2025 17:34,Lucknow,Uttar Pradesh,India,Payment for Tuition Fees at BYJU's/Vedantu.,12-12-2025 11:44
126,16,14,1243.68,DEBIT,NET_BANKING,FOOD,Coffee Shop,Saravana Bhavan,21-10-2025 02:40,Ahmedabad,Gujarat,India,Payment for Coffee Shop at Saravana Bhavan.,12-12-2025 11:44
127,17,15,1912.83,DEBIT,UPI,FOOD,Online Delivery,Reliance Smart,24-09-2025 19:22,Pune,Maharashtra,India,Payment for Online Delivery at Reliance Smart.,12-12-2025 11:44
128,18,16,10825.84,DEBIT,WALLET,SHOPPING,Electronics,Croma/Reliance Digital,05-08-2025 21:05,Hyderabad,Telangana,India,Payment for Electronics at Croma/Reliance Digital.,12-12-2025 11:44
129,19,17,10304.7,DEBIT,CASH,HEALTHCARE,Lab Test,Apollo Pharmacy,11-09-2025 11:27,Kolkata,West Bengal,India,Payment for Lab Test at Apollo Pharmacy.,12-12-2025 11:44
130,20,18,2899.69,DEBIT,AUTO_DEBIT,SUBSCRIPTIONS,Gym Membership,Microsoft 365,02-07-2025 23:44,Chennai,Tamil Nadu,India,Payment for Gym Membership at Microsoft 365.,12-12-2025 11:44
131,21,19,18585.11,DEBIT,CARD,TRAVEL,Train,OYO/Goibibo,18-10-2025 20:01,Delhi,Delhi,India,Payment for Train at OYO/Goibibo.,12-12-2025 11:44
132,22,20,10118.06,DEBIT,UPI,HEALTHCARE,Doctor Visit,Dr. Lal PathLabs,01-07-2025 02:45,Jaipur,Rajasthan,India,Payment for Doctor Visit at Dr. Lal PathLabs.,12-12-2025 11:44
133,23,21,1241.6,DEBIT,WALLET,TRANSPORT,Fuel,Ola/Uber,16-08-2025 19:42,Bengaluru,Karnataka,India,Payment for Fuel at Ola/Uber.,12-12-2025 11:44
134,24,22,37769.17,DEBIT,CASH,FINANCE,Credit Card Payment,ICICI Bank/Axis Bank,23-07-2025 10:48,Pune,Maharashtra,India,Payment for Credit Card Payment at ICICI Bank/Axis Bank.,12-12-2025 11:44
135,25,23,2115.11,DEBIT,NET_BANKING,SUBSCRIPTIONS,Software,Times of India,27-07-2025 10:49,Lucknow,Uttar Pradesh,India,Payment for Software at Times of India.,12-12-2025 11:44
